"year","country","age","gender","corruption","imp_democracy","income_group"
2017,"US",44,2,10,8,3
2017,"US",65,2,7,5,5
2017,"US",51,1,5,5,5
2017,"US",32,2,7,4,3
2017,"US",44,2,10,5,1
2017,"US",46,1,7,8,5
2017,"US",26,1,10,5,3
2017,"US",48,1,5,5,5
2017,"US",57,1,6,8,3
2017,"US",65,1,7,10,6
2017,"US",54,2,5,5,1
2017,"US",69,1,10,8,5
2017,"US",50,2,7,8,3
2017,"US",27,2,10,6,5
2017,"US",31,1,8,6,2
2017,"US",37,2,6,5,5
2017,"US",25,2,10,5,5
2017,"US",47,2,10,5,1
2017,"US",49,2,8,6,6
2017,"US",51,2,8,9,3
2017,"US",62,1,10,10,7
2017,"US",29,2,6,6,5
2017,"US",81,1,10,10,NA
2017,"US",57,2,10,2,6
2017,"US",29,1,8,5,4
2017,"US",46,1,4,8,8
2017,"US",59,2,10,10,2
2017,"US",59,1,10,10,5
2017,"US",25,1,5,5,5
2017,"US",20,2,5,5,5
2017,"US",29,1,9,6,5
2017,"US",35,2,6,8,5
2017,"US",29,2,7,10,5
2017,"US",29,2,10,7,7
2017,"US",62,1,10,5,5
2017,"US",67,2,8,9,4
2017,"US",56,1,8,9,7
2017,"US",50,1,8,10,3
2017,"US",19,2,7,8,7
2017,"US",60,2,5,7,6
2017,"US",34,1,9,8,6
2017,"US",36,2,10,5,9
2017,"US",49,2,5,10,6
2017,"US",45,2,10,5,3
2017,"US",44,2,5,5,5
2017,"US",38,2,5,8,5
2017,"US",63,2,10,10,3
2017,"US",37,2,8,9,NA
2017,"US",38,1,10,5,1
2017,"US",35,2,5,5,5
2017,"US",30,1,10,10,4
2017,"US",28,2,10,7,1
2017,"US",57,2,10,10,3
2017,"US",64,1,10,8,1
2017,"US",73,2,9,9,4
2017,"US",41,2,10,5,3
2017,"US",44,1,5,8,5
2017,"US",35,2,10,5,4
2017,"US",61,1,3,5,8
2017,"US",64,1,6,5,5
2017,"US",37,1,8,8,6
2017,"US",66,1,10,3,2
2017,"US",49,2,10,10,4
2017,"US",65,2,8,9,3
2017,"US",46,1,10,10,4
2017,"US",32,1,10,9,3
2017,"US",55,1,10,10,2
2017,"US",50,2,10,9,1
2017,"US",40,1,10,10,7
2017,"US",48,2,8,10,3
