"v960066","v960067","v960070","v960071","v960073","v960115","v960119","v960272","v960281","v960284","v960292","v960293","v960365","v960385","v960420","v960568","v960571","v960605","v960606","v960610","v960701","v961039","v961300","religion"
2,2,3,3,3,3,266,85,85,50,85,50,NA,1,0,5,1,38,3,3,NA,100,5,7
1,2,3,3,3,3,266,70,65,50,90,0,NA,3,0,5,1,80,2,3,16,70,5,9
1,2,2,2,3,3,266,85,70,60,85,40,NA,1,0,4,1,57,1,3,NA,70,5,1
2,2,3,3,4,3,266,100,70,0,70,40,NA,3,2,2,1,33,1,4,NA,NA,5,7
2,2,3,2,2,3,266,100,85,NA,100,10,NA,3,1,1,1,71,2,4,NA,85,5,1
1,1,3,3,3,3,9,15,0,30,15,60,4,1,4,2,2,35,1,5,NA,50,5,1
2,1,3,2,2,3,104,0,0,60,70,85,NA,3,4,5,1,87,2,2,9,0,5,1
1,2,2,2,2,3,104,60,50,50,100,0,1,5,2,1,1,31,1,4,17,100,1,9
2,2,3,3,3,3,104,60,0,NA,60,15,7,3,1,5,1,30,1,5,10,85,5,1
1,1,1,1,1,3,84,85,70,30,60,15,2,1,2,4,1,33,1,7,20,70,5,1
2,1,4,3,3,3,84,70,70,50,85,40,4,3,2,5,1,67,2,3,10,70,5,9
1,1,1,2,2,3,22,85,70,0,70,15,3,3,0,4,1,36,1,6,20,85,5,1
2,1,4,3,3,3,0,60,50,40,50,50,4,5,4,5,1,18,5,3,9,50,5,7
1,1,4,3,3,3,0,50,0,0,25,25,NA,5,3,1,1,30,5,3,6,70,5,9
2,1,4,3,2,4,32,60,50,NA,60,60,NA,3,4,3,2,53,1,3,11,60,5,9
1,1,2,1,1,4,32,75,60,25,65,50,2,3,2,2,1,29,1,6,21,70,5,1
2,1,4,3,2,4,32,40,50,NA,30,80,NA,5,3,1,1,23,1,3,14,NA,5,7
2,1,3,4,3,4,32,85,70,40,100,85,3,5,1,1,1,65,1,1,5,100,5,7
2,1,4,3,3,4,32,15,50,NA,30,30,NA,5,4,1,1,27,4,2,9,85,1,7
1,1,1,1,1,4,160,70,70,60,60,40,2,1,1,2,2,44,5,7,20,70,5,9
1,1,2,1,1,4,160,60,50,70,60,70,6,3,5,2,2,65,1,4,NA,50,5,1
1,1,2,2,1,4,87,0,0,30,0,85,4,3,5,1,1,72,1,3,18,80,5,7
2,1,1,2,1,4,12,100,85,0,100,0,3,1,0,2,1,71,2,3,17,70,5,2
2,1,3,2,2,4,12,50,10,10,10,80,7,3,6,2,1,25,5,6,8,50,5,7
2,1,3,3,2,4,354,70,70,30,70,40,3,3,1,5,2,19,5,3,4,85,1,7
2,2,3,2,2,4,354,50,40,30,60,50,NA,3,2,4,1,21,5,4,15,85,1,7
1,1,2,2,2,4,354,60,50,30,60,70,5,3,4,2,1,22,1,3,15,NA,NA,2
1,1,3,3,1,4,354,60,40,60,60,40,2,5,2,5,1,36,1,4,14,NA,5,9
2,4,5,3,2,4,354,70,60,NA,50,50,4,1,5,3,2,30,5,6,5,NA,NA,9
2,2,4,3,1,4,354,100,85,0,100,0,5,1,0,2,1,45,3,4,13,NA,NA,2
2,1,3,3,1,4,16,100,85,30,85,50,4,1,0,2,1,27,4,3,3,85,5,9
2,2,3,3,2,4,16,100,85,NA,100,15,NA,1,0,1,1,42,1,3,NA,100,5,2
2,1,3,3,3,4,16,100,85,50,85,30,NA,3,1,1,1,47,3,4,11,85,5,9
1,1,2,2,3,4,16,70,50,45,70,70,7,1,2,1,2,51,3,4,18,85,5,7
1,1,4,3,4,4,45,50,30,30,50,50,NA,3,4,2,2,42,1,3,20,NA,NA,9
2,1,3,3,3,4,45,60,60,15,50,50,4,3,2,4,2,37,1,3,16,50,5,9
1,1,3,3,3,4,45,60,70,50,30,100,4,1,6,3,1,43,1,3,20,85,5,9
2,1,4,3,3,4,113,85,70,NA,50,60,6,3,1,5,1,33,5,3,21,100,5,1
