"","X","internettbruk","kjonn","alder","utdanning","tillit"
"523",523,4,2,68,5,5
"524",524,1,2,90,5,5
"525",525,5,2,44,15,5
"526",526,3,2,70,13,2
"527",527,1,2,68,8,6
"528",528,5,2,48,8,6
"529",529,5,2,28,16,4
"530",530,1,2,61,8,5
"531",531,4,1,68,13,7
"532",532,5,1,38,20,3
"533",533,4,1,18,12,NA
"534",534,5,2,24,13,6
"535",535,5,1,46,14,6
"536",536,1,2,37,13,0
"537",537,5,1,23,16,6
"538",538,1,1,90,5,1
"539",539,3,2,43,NA,9
"540",540,3,2,53,11,9
"541",541,4,2,50,15,9
"542",542,5,2,57,11,7
"543",543,5,2,25,13,3
"544",544,5,2,50,14,4
"545",545,5,1,58,13,1
"546",546,1,1,78,8,5
"547",547,5,1,23,17,5
"548",548,1,2,87,5,3
"549",549,5,2,41,13,2
"550",550,1,2,35,8,3
"551",551,5,1,37,10,0
"552",552,1,2,76,5,3
"553",553,1,1,83,5,3
"554",554,2,2,66,5,3
"555",555,2,2,42,12,0
"556",556,5,2,58,8,3
"557",557,5,1,67,14,6
"558",558,5,2,32,13,5
"559",559,1,1,81,11,0
"560",560,1,2,80,6,7
"561",561,5,2,38,13,8
"562",562,4,2,19,11,2
"563",563,1,2,79,8,5
"564",564,5,1,23,13,0
"565",565,1,2,83,5,5
"566",566,1,2,81,6,3
"567",567,4,2,46,18,0
"568",568,5,2,53,14,1
"569",569,5,1,40,13,1
"570",570,5,2,50,10,2
"571",571,4,1,35,10,0
"572",572,1,2,79,11,5
"573",573,1,2,75,12,5
"574",574,2,1,77,10,0
"575",575,5,2,29,15,0
"576",576,5,2,47,19,4
"577",577,1,2,47,8,10
"578",578,5,1,43,13,6
"579",579,4,1,23,11,2
"580",580,5,1,55,13,5
"581",581,5,2,40,16,3
"582",582,3,2,49,15,3
"583",583,4,1,57,13,6
"584",584,3,1,47,NA,6
"585",585,5,1,39,13,5
"586",586,5,1,26,13,5
"587",587,5,2,58,10,5
"588",588,2,2,48,13,6
"589",589,1,2,77,5,5
"590",590,5,2,52,11,5
"591",591,4,1,78,13,7
"592",592,5,2,20,16,3
"593",593,5,2,47,13,4
"594",594,3,2,62,8,0
"595",595,5,2,45,16,5
"596",596,5,2,38,11,8
"597",597,1,1,64,8,2
"598",598,1,2,78,3,0
"599",599,3,1,31,8,2
"600",600,5,1,64,8,4
"601",601,5,2,44,8,NA
"602",602,2,2,43,13,1
"603",603,1,2,82,8,5
"604",604,1,2,79,0,2
"605",605,5,2,39,8,6
"606",606,4,1,33,11,8
"607",607,5,1,27,8,6
"608",608,5,2,66,11,5
"609",609,4,2,32,16,8
"610",610,1,1,84,5,2
"611",611,5,2,48,10,8
"612",612,2,1,89,3,6
"613",613,4,1,41,15,5
"614",614,1,2,64,8,2
"615",615,5,1,29,23,8
"616",616,5,2,34,11,4
"617",617,5,2,28,11,4
"618",618,2,2,42,9,6
"619",619,5,2,30,13,2
"620",620,5,1,47,13,4
"621",621,5,2,30,13,0
"622",622,1,2,73,10,4
"623",623,5,2,58,8,2
"624",624,5,1,24,18,0
"625",625,4,2,38,16,8
"626",626,1,1,59,8,8
"627",627,5,1,38,8,0
"628",628,5,1,48,13,6
"629",629,1,2,65,5,1
"630",630,1,2,88,5,4
"631",631,2,1,70,10,7
"632",632,3,2,65,19,2
"633",633,5,1,53,13,2
"634",634,5,2,34,13,3
"635",635,5,1,66,20,3
"636",636,5,1,58,13,7
"637",637,1,1,86,3,5
"638",638,3,1,34,8,6
"639",639,4,2,66,8,7
"640",640,5,1,24,18,6
"641",641,4,1,42,13,0
"642",642,5,1,28,18,6
"643",643,5,2,64,13,3
"644",644,2,2,62,8,5
"645",645,4,1,62,13,9
"646",646,4,2,44,18,4
